id,label,sex,type,type_detail,age,birth,education,education_background,background,party,state,function,health_sector,health_category,
sanitaetsversorgungszentrumhannover,Sanitaetsversorgungszentrum Hannover,99,2,4,99,99,99,99,99,99,99,99,1,5,
schlichtungsstellederrechtsanwaltschaft,Schlichtungsstelle der Rechtsanwaltschaft,99,2,3,99,99,99,99,99,99,99,99,2,99,
schmidt,Ulla Schmidt,1,1,99,6,2,8,4,1,2,10,1,99,99,
schmidtke,Claudia Schmidtke,1,1,99,4,3,9,3,1,1,15,4,99,99,
schroeder,Dr. Klaus Theo Schroeder,2,1,99,8,2,6,1,2,2,10,2,99,99,
schuetzenvereinlb,Schuetzenverein Leuzbach-Bergenhausen,99,2,3,99,99,99,99,99,99,99,99,2,99,
schwaebischerdialekt,Foerderverein Schwaebischer Dialekt e.V.,99,2,3,99,99,99,99,99,99,99,99,2,99,
schwanitz,Rolf Schwanitz,2,1,99,5,3,7,1,2,2,13,2,99,99,
seakularesozialdemokratinnen,Saekulare Sozialdemokrat_innen,99,2,3,99,99,99,99,99,99,99,99,2,99,
seeheimerkreis,Seeheimer Kreis,99,2,3,99,99,99,99,99,99,99,99,2,99,
segebergerkliniken,Segeberger Kliniken GmbH,99,2,2,99,99,99,99,99,99,99,99,1,3,
senatsverwaltungfuerarbeitsozialesundfrauenberlin,"Senatsverwaltung fuer Arbeit, Soziales und Frauen",99,2,4,99,99,99,99,99,99,99,1,1,5,
sgbetzdorf,SG 06 Betzdorf,99,2,3,99,99,99,99,99,99,99,99,2,99,
siemenshealthineers,Siemens Healthineers,99,2,2,99,99,99,99,99,99,99,99,1,2,
siemenspowerengineering,Siemens AG Power Engineering,99,2,2,99,99,99,99,99,99,99,99,2,99,
spahn,Jens Spahn,2,1,99,3,2,5,1,1,1,10,1,99,99,
sparkassewestmuensterland,Sparkasse Westmuensterland,99,2,2,99,99,99,99,99,99,99,99,2,99,
spd,SPD (Sozialdemokratische Partei Deutschlands),99,2,4,99,99,99,99,99,99,99,99,2,99,
sportausschuss,Sportausschuss ,99,2,4,99,99,99,99,99,99,99,99,2,99,
stefanmorschstiftung,Stefan Morsch Stiftung Hilfe fuer Leukaemie- und Tumorkranke ,99,2,5,99,99,99,99,99,99,99,99,1,4,
steffen,Thomas Steffen,2,1,99,4,3,9,5,2,1,11,2,99,99,
stiftungfriedrichebert,Stiftung Reichspraesident-Friedrich-Ebert-Gedenkstaette,99,2,5,99,99,99,99,99,99,99,99,2,99,
stiftunghumanitaerehilfe,Stiftung „Humanitaere Hilfe fuer durch Blutprodukte HIV-infizierte Personen“,99,2,5,99,99,99,99,99,99,99,99,1,4,
svadler,SV Adler 09 Niederfischbach,99,2,3,99,99,99,99,99,99,99,99,2,99,
technischehochschulezwickau,TH Zwickau,99,2,3,99,99,99,99,99,99,99,99,2,99,
theateranderruhr,Theater an der Ruhr gemeinnuetzige GmbH,99,2,2,99,99,99,99,99,99,99,99,2,99,
thwbenzdorf,Helferverein THW Betzdorf,99,2,3,99,99,99,99,99,99,99,99,2,99,
tierschutzvereinaltenkirchen,Tierschutzverein Altenkirchen e.V. ,99,2,3,99,99,99,99,99,99,99,99,2,99,
totolottogmbh,Staatliche Toto-Lotto GmbH Baden-Wuerttemberg,99,2,2,99,99,99,99,99,99,99,99,2,99,
traegervereinnetzwerk,Traegerverein Netzwerk Berlin e.V.,99,2,3,99,99,99,99,99,99,99,99,2,99,
treuhandanstalt,Treuhandanstalt,99,2,4,99,99,99,99,99,99,99,99,2,99,
trotzdem,Trotzdem e.V. ,99,2,3,99,99,99,99,99,99,99,99,2,99,
tsvolympia,TSV Olympia Eisenbach e.V. ,99,2,3,99,99,99,99,99,99,99,99,2,99,
tvgrosswallstadt,TV-Großwallstadt Handball AG,99,2,3,99,99,99,99,99,99,99,99,2,99,
unikreditbank,UniCredit Bank,99,2,2,99,99,99,99,99,99,99,99,2,99,
unitrier,Universitaet Trier,99,2,3,99,99,99,99,99,99,99,99,2,99,
universityofmichigan,University of Michigan,99,2,2,99,99,99,99,99,99,99,99,2,99,
unterausschusseuroparecht,Unterausschuss Europarecht,99,2,4,99,99,99,99,99,99,99,99,2,99,
vdksteimel,VdK Steimel,99,2,3,99,99,99,99,99,99,99,99,1,4,
verdi,Dienstleistungsgewerkschaft ver.di,99,2,3,99,99,99,99,99,99,99,99,2,99,
vereinvogtland,Verein Vogtland 89 e.V.,99,2,3,99,99,99,99,99,99,99,99,2,99,
vermittlungsausschuss,Vermittlungsausschuss,99,2,4,99,99,99,99,99,99,99,99,2,99,
weiss,Sabine Weiss,1,1,99,6,5,8,5,2,1,10,2,99,99,
weltwirtschaftsforum,Weltwirtschaftsforum,99,2,5,99,99,99,99,99,99,99,99,2,99,
westerfellhaus,Andreas Westerfellhaus,2,1,99,4,3,5,4,1,1,10,4,99,99,
westfaelischenklinik,Westfaelischen Klinik,99,2,2,99,99,99,99,99,99,99,99,1,3,
widmann_mauz,Annette Widmann-Mauz,1,1,99,4,4,4,2,1,1,1,2,99,99,
